Entity,Code,Year,Share of one-year-olds vaccinated against rubella
East Asia and the Pacific (UNICEF),,2016,80
East Asia and the Pacific (UNICEF),,2017,82
East Asia and the Pacific (UNICEF),,2018,85
East Asia and the Pacific (UNICEF),,2019,92
East Asia and the Pacific (UNICEF),,2020,91
East Asia and the Pacific (UNICEF),,2021,86
East Asia and the Pacific (UNICEF),,2022,91
East Asia and the Pacific (UNICEF),,2023,88
East Asia and the Pacific (UNICEF),,2024,89
East Timor,TLS,2016,73
East Timor,TLS,2017,77
East Timor,TLS,2018,77
East Timor,TLS,2019,75
East Timor,TLS,2020,74
East Timor,TLS,2021,72
East Timor,TLS,2022,72
East Timor,TLS,2023,72
East Timor,TLS,2024,72
Eastern Mediterranean (WHO),,1980,0
Eastern Mediterranean (WHO),,1981,0
Eastern Mediterranean (WHO),,1982,0
Eastern Mediterranean (WHO),,1983,0
Eastern Mediterranean (WHO),,1984,0
Eastern Mediterranean (WHO),,1985,0
Eastern Mediterranean (WHO),,1986,0
Eastern Mediterranean (WHO),,1987,0
Eastern Mediterranean (WHO),,1988,0
Eastern Mediterranean (WHO),,1989,0
Eastern Mediterranean (WHO),,1990,0
Eastern Mediterranean (WHO),,1991,3
Eastern Mediterranean (WHO),,1992,3
Eastern Mediterranean (WHO),,1993,3
Eastern Mediterranean (WHO),,1994,4
Eastern Mediterranean (WHO),,1995,9
Eastern Mediterranean (WHO),,1996,9
Eastern Mediterranean (WHO),,1997,5
Eastern Mediterranean (WHO),,1998,5
Eastern Mediterranean (WHO),,1999,20
Eastern Mediterranean (WHO),,2000,22
Eastern Mediterranean (WHO),,2001,25
Eastern Mediterranean (WHO),,2002,24
Eastern Mediterranean (WHO),,2003,24
Eastern Mediterranean (WHO),,2004,34
Eastern Mediterranean (WHO),,2005,35
Eastern Mediterranean (WHO),,2006,35
Eastern Mediterranean (WHO),,2007,36
Eastern Mediterranean (WHO),,2008,33
Eastern Mediterranean (WHO),,2009,34
Eastern Mediterranean (WHO),,2010,34
Eastern Mediterranean (WHO),,2011,35
Eastern Mediterranean (WHO),,2012,35
Eastern Mediterranean (WHO),,2013,35
Eastern Mediterranean (WHO),,2014,39
Eastern Mediterranean (WHO),,2015,43
Eastern Mediterranean (WHO),,2016,44
Eastern Mediterranean (WHO),,2017,43
Eastern Mediterranean (WHO),,2018,42
Eastern Mediterranean (WHO),,2019,41
Eastern Mediterranean (WHO),,2020,40
Eastern Mediterranean (WHO),,2021,39
Eastern Mediterranean (WHO),,2022,68
Eastern Mediterranean (WHO),,2023,69
Eastern Mediterranean (WHO),,2024,73
Eastern and Southern Africa (UNICEF),,1980,0
Eastern and Southern Africa (UNICEF),,1981,0
Eastern and Southern Africa (UNICEF),,1982,0
Eastern and Southern Africa (UNICEF),,1983,0
Eastern and Southern Africa (UNICEF),,1984,0
Eastern and Southern Africa (UNICEF),,1985,0
Eastern and Southern Africa (UNICEF),,1986,0
Eastern and Southern Africa (UNICEF),,1987,0
Eastern and Southern Africa (UNICEF),,1988,0
Eastern and Southern Africa (UNICEF),,1989,0
Eastern and Southern Africa (UNICEF),,1990,0
Eastern and Southern Africa (UNICEF),,1991,0
Eastern and Southern Africa (UNICEF),,1992,0
Eastern and Southern Africa (UNICEF),,1993,0
Eastern and Southern Africa (UNICEF),,1994,0
Eastern and Southern Africa (UNICEF),,1995,0
Eastern and Southern Africa (UNICEF),,1996,0
Eastern and Southern Africa (UNICEF),,1997,0
Eastern and Southern Africa (UNICEF),,1998,0
Eastern and Southern Africa (UNICEF),,1999,0
Eastern and Southern Africa (UNICEF),,2000,0
Eastern and Southern Africa (UNICEF),,2001,0
Eastern and Southern Africa (UNICEF),,2002,0
Eastern and Southern Africa (UNICEF),,2003,0
Eastern and Southern Africa (UNICEF),,2004,0
Eastern and Southern Africa (UNICEF),,2005,0
Eastern and Southern Africa (UNICEF),,2006,0
Eastern and Southern Africa (UNICEF),,2007,0
Eastern and Southern Africa (UNICEF),,2008,0
Eastern and Southern Africa (UNICEF),,2009,0
Eastern and Southern Africa (UNICEF),,2010,0
Eastern and Southern Africa (UNICEF),,2011,0
Eastern and Southern Africa (UNICEF),,2012,0
Eastern and Southern Africa (UNICEF),,2013,0
Eastern and Southern Africa (UNICEF),,2014,11
Eastern and Southern Africa (UNICEF),,2015,13
Eastern and Southern Africa (UNICEF),,2016,15
Eastern and Southern Africa (UNICEF),,2017,33
Eastern and Southern Africa (UNICEF),,2018,43
Eastern and Southern Africa (UNICEF),,2019,43
Eastern and Southern Africa (UNICEF),,2020,50
Eastern and Southern Africa (UNICEF),,2021,48
Eastern and Southern Africa (UNICEF),,2022,48
Eastern and Southern Africa (UNICEF),,2023,50
Eastern and Southern Africa (UNICEF),,2024,49
Ecuador,ECU,1997,77
Ecuador,ECU,1998,89
Ecuador,ECU,1999,99
Ecuador,ECU,2000,99
Ecuador,ECU,2001,99
Ecuador,ECU,2002,99
Ecuador,ECU,2003,99
Ecuador,ECU,2004,99
Ecuador,ECU,2005,93
Ecuador,ECU,2006,97
Ecuador,ECU,2007,98
Ecuador,ECU,2008,98
Ecuador,ECU,2009,97
Ecuador,ECU,2010,95
Ecuador,ECU,2011,94
Ecuador,ECU,2012,96
Ecuador,ECU,2013,97
Ecuador,ECU,2014,85
Ecuador,ECU,2015,84
Ecuador,ECU,2016,86
Ecuador,ECU,2017,81
Ecuador,ECU,2018,83
Ecuador,ECU,2019,83
Ecuador,ECU,2020,81
Ecuador,ECU,2021,65
Ecuador,ECU,2022,74
Ecuador,ECU,2023,74
Ecuador,ECU,2024,74
Egypt,EGY,1999,95
Egypt,EGY,2000,97
Egypt,EGY,2001,99
Egypt,EGY,2002,96
Egypt,EGY,2003,97
Egypt,EGY,2004,96
Egypt,EGY,2005,97
Egypt,EGY,2006,97
Egypt,EGY,2007,97
Egypt,EGY,2008,92
Egypt,EGY,2009,95
Egypt,EGY,2010,96
Egypt,EGY,2011,96
Egypt,EGY,2012,93
Egypt,EGY,2013,96
Egypt,EGY,2014,93
Egypt,EGY,2015,92
Egypt,EGY,2016,95
Egypt,EGY,2017,94
Egypt,EGY,2018,94
Egypt,EGY,2019,95
Egypt,EGY,2020,94
Egypt,EGY,2021,96
Egypt,EGY,2022,96
Egypt,EGY,2023,96
Egypt,EGY,2024,97
El Salvador,SLV,1997,98
El Salvador,SLV,1998,99
El Salvador,SLV,1999,94
El Salvador,SLV,2000,97
El Salvador,SLV,2001,95
El Salvador,SLV,2002,93
El Salvador,SLV,2003,90
El Salvador,SLV,2004,93
El Salvador,SLV,2005,99
El Salvador,SLV,2006,98
El Salvador,SLV,2007,99
El Salvador,SLV,2008,95
El Salvador,SLV,2009,91
El Salvador,SLV,2010,92
El Salvador,SLV,2011,89
El Salvador,SLV,2012,93
El Salvador,SLV,2013,94
El Salvador,SLV,2014,96
El Salvador,SLV,2015,97
El Salvador,SLV,2016,98
El Salvador,SLV,2017,89
El Salvador,SLV,2018,87
El Salvador,SLV,2019,96
El Salvador,SLV,2020,84
El Salvador,SLV,2021,97
El Salvador,SLV,2022,80
El Salvador,SLV,2023,99
El Salvador,SLV,2024,96
Eritrea,ERI,2018,93
Eritrea,ERI,2019,93
Eritrea,ERI,2020,93
Eritrea,ERI,2021,93
Eritrea,ERI,2022,93
Eritrea,ERI,2023,93
Eritrea,ERI,2024,93
Estonia,EST,1993,74
Estonia,EST,1994,76
Estonia,EST,1995,81
Estonia,EST,1996,86
Estonia,EST,1997,88
Estonia,EST,1998,89
Estonia,EST,1999,92
Estonia,EST,2000,93
Estonia,EST,2001,95
Estonia,EST,2002,95
Estonia,EST,2003,95
Estonia,EST,2004,96
Estonia,EST,2005,96
Estonia,EST,2006,96
Estonia,EST,2007,96
Estonia,EST,2008,95
Estonia,EST,2009,95
Estonia,EST,2010,95
Estonia,EST,2011,94
Estonia,EST,2012,94
Estonia,EST,2013,94
Estonia,EST,2014,93
Estonia,EST,2015,93
Estonia,EST,2016,93
Estonia,EST,2017,93
Estonia,EST,2018,87
Estonia,EST,2019,88
Estonia,EST,2020,91
Estonia,EST,2021,89
Estonia,EST,2022,87
Estonia,EST,2023,85
Estonia,EST,2024,83
Eswatini,SWZ,2017,89
Eswatini,SWZ,2018,85
Eswatini,SWZ,2019,81
Eswatini,SWZ,2020,76
Eswatini,SWZ,2021,80
Eswatini,SWZ,2022,83
Eswatini,SWZ,2023,85
Eswatini,SWZ,2024,85
Europe,,1980,5.384909
Europe,,1981,6.7844405
Europe,,1982,9.089817
Europe,,1983,11.549532
Europe,,1984,14.430938
Europe,,1985,17.635437
Europe,,1986,19.404333
Europe,,1987,20.439592
Europe,,1988,27.154945
Europe,,1989,29.788708
Europe,,1990,34.39885
Europe,,1991,43.282654
Europe,,1992,47.1127
Europe,,1993,53.05239
Europe,,1994,56.41329
Europe,,1995,58.636265
Europe,,1996,61.047653
Europe,,1997,61.789837
Europe,,1998,61.8491
Europe,,1999,63.25612
Europe,,2000,80.522385
Europe,,2001,87.27629
Europe,,2002,91.739105
Europe,,2003,91.98731
Europe,,2004,92.32501
Europe,,2005,92.71133
Europe,,2006,93.54977
Europe,,2007,94.071686
Europe,,2008,93.91159
Europe,,2009,92.57658
Europe,,2010,91.65784
Europe,,2011,92.44029
Europe,,2012,93.643234
Europe,,2013,93.646965
Europe,,2014,91.95562
Europe,,2015,91.77658
Europe,,2016,90.94747
Europe,,2017,93.933784
Europe,,2018,94.36731
Europe,,2019,94.5033
Europe,,2020,93.39701
Europe,,2021,93.60891
Europe,,2022,92.62943
Europe,,2023,93.03082
Europe (WHO),,1980,4
Europe (WHO),,1981,5
Europe (WHO),,1982,7
Europe (WHO),,1983,10
Europe (WHO),,1984,12
Europe (WHO),,1985,15
Europe (WHO),,1986,16
Europe (WHO),,1987,17
Europe (WHO),,1988,22
Europe (WHO),,1989,25
Europe (WHO),,1990,29
Europe (WHO),,1991,35
Europe (WHO),,1992,37
Europe (WHO),,1993,39
Europe (WHO),,1994,41
Europe (WHO),,1995,43
Europe (WHO),,1996,45
Europe (WHO),,1997,46
Europe (WHO),,1998,45
Europe (WHO),,1999,47
Europe (WHO),,2000,60
Europe (WHO),,2001,66
Europe (WHO),,2002,70
Europe (WHO),,2003,71
Europe (WHO),,2004,74
Europe (WHO),,2005,74
Europe (WHO),,2006,92
Europe (WHO),,2007,93
Europe (WHO),,2008,93
Europe (WHO),,2009,94
Europe (WHO),,2010,93
Europe (WHO),,2011,94
Europe (WHO),,2012,95
Europe (WHO),,2013,95
Europe (WHO),,2014,94
Europe (WHO),,2015,94
Europe (WHO),,2016,93
Europe (WHO),,2017,95
Europe (WHO),,2018,95
Europe (WHO),,2019,95
Europe (WHO),,2020,94
Europe (WHO),,2021,95
Europe (WHO),,2022,94
Europe (WHO),,2023,94
Europe (WHO),,2024,94
Fiji,FJI,1995,94
Fiji,FJI,1996,94
Fiji,FJI,1997,75
Fiji,FJI,1998,77
Fiji,FJI,1999,79
Fiji,FJI,2000,81
Fiji,FJI,2001,83
Fiji,FJI,2002,85
Fiji,FJI,2003,86
Fiji,FJI,2004,88
Fiji,FJI,2005,90
Fiji,FJI,2006,92
Fiji,FJI,2007,94
Fiji,FJI,2008,95
Fiji,FJI,2009,95
Fiji,FJI,2010,96
Fiji,FJI,2011,96
Fiji,FJI,2012,98
Fiji,FJI,2013,94
Fiji,FJI,2014,99
Fiji,FJI,2015,98
Fiji,FJI,2016,97
Fiji,FJI,2017,99
Fiji,FJI,2018,95
Fiji,FJI,2019,94
Fiji,FJI,2020,92
Fiji,FJI,2021,98
Fiji,FJI,2022,99
Fiji,FJI,2023,98
Fiji,FJI,2024,91
Finland,FIN,1981,70
Finland,FIN,1982,75
Finland,FIN,1983,81
Finland,FIN,1984,83
Finland,FIN,1985,85
Finland,FIN,1986,87
Finland,FIN,1987,92
Finland,FIN,1988,98
Finland,FIN,1989,95
Finland,FIN,1990,97
Finland,FIN,1991,97
Finland,FIN,1992,99
Finland,FIN,1993,99
Finland,FIN,1994,99
Finland,FIN,1995,98
Finland,FIN,1996,98
Finland,FIN,1997,96
Finland,FIN,1998,96
Finland,FIN,1999,96
Finland,FIN,2000,96
Finland,FIN,2001,96
Finland,FIN,2002,96
Finland,FIN,2003,97
Finland,FIN,2004,97
Finland,FIN,2005,97
Finland,FIN,2006,97
Finland,FIN,2007,98
Finland,FIN,2008,97
Finland,FIN,2009,98
Finland,FIN,2010,98
Finland,FIN,2011,97
Finland,FIN,2012,97
Finland,FIN,2013,97
Finland,FIN,2014,96
Finland,FIN,2015,95
Finland,FIN,2016,95
Finland,FIN,2017,94
Finland,FIN,2018,96
Finland,FIN,2019,96
Finland,FIN,2020,95
Finland,FIN,2021,93
Finland,FIN,2022,94
Finland,FIN,2023,94
Finland,FIN,2024,94
France,FRA,1983,15
France,FRA,1984,26
France,FRA,1985,35
France,FRA,1986,39
France,FRA,1987,45
France,FRA,1988,51
France,FRA,1989,58
France,FRA,1990,71
France,FRA,1991,74
France,FRA,1992,76
France,FRA,1993,78
France,FRA,1994,80
France,FRA,1995,83
France,FRA,1996,84
France,FRA,1997,83
France,FRA,1998,82
France,FRA,1999,83
France,FRA,2000,84
France,FRA,2001,85
France,FRA,2002,86
France,FRA,2003,87
France,FRA,2004,88
France,FRA,2005,87
France,FRA,2006,89
France,FRA,2007,90
France,FRA,2008,89
France,FRA,2009,89
France,FRA,2010,89
France,FRA,2011,89
France,FRA,2012,91
France,FRA,2013,90
France,FRA,2014,91
France,FRA,2015,91
France,FRA,2016,90
France,FRA,2017,90
France,FRA,2018,91
France,FRA,2019,92
France,FRA,2020,94
France,FRA,2021,94
France,FRA,2022,95
France,FRA,2023,95
France,FRA,2024,95
Gambia,GMB,2017,90
Gambia,GMB,2018,91
Gambia,GMB,2019,85
Gambia,GMB,2020,82
Gambia,GMB,2021,79
Gambia,GMB,2022,74
Gambia,GMB,2023,80
Gambia,GMB,2024,83
Georgia,GEO,2004,86
Georgia,GEO,2005,90
Georgia,GEO,2006,96
Georgia,GEO,2007,97
Georgia,GEO,2008,97
Georgia,GEO,2009,83
Georgia,GEO,2010,94
Georgia,GEO,2011,91
Georgia,GEO,2012,93
Georgia,GEO,2013,97
Georgia,GEO,2014,92
Georgia,GEO,2015,96
Georgia,GEO,2016,93
Georgia,GEO,2017,95
Georgia,GEO,2018,98
Georgia,GEO,2019,99
Georgia,GEO,2020,91
Georgia,GEO,2021,90
Georgia,GEO,2022,90
Georgia,GEO,2023,95
Georgia,GEO,2024,90
Germany,DEU,1991,75
Germany,DEU,1992,75
Germany,DEU,1993,89
Germany,DEU,1994,90
Germany,DEU,1995,92
Germany,DEU,1996,91
Germany,DEU,1997,91
Germany,DEU,1998,92
Germany,DEU,1999,92
Germany,DEU,2000,92
Germany,DEU,2001,94
Germany,DEU,2002,94
Germany,DEU,2003,95
Germany,DEU,2004,96
Germany,DEU,2005,96
Germany,DEU,2006,96
Germany,DEU,2007,97
Germany,DEU,2008,97
Germany,DEU,2009,97
Germany,DEU,2010,97
Germany,DEU,2011,97
Germany,DEU,2012,97
Germany,DEU,2013,97
Germany,DEU,2014,97
Germany,DEU,2015,97
Germany,DEU,2016,97
Germany,DEU,2017,97
Germany,DEU,2018,97
Germany,DEU,2019,97
Germany,DEU,2020,97
Germany,DEU,2021,98
Germany,DEU,2022,96
Germany,DEU,2023,96
Germany,DEU,2024,96
Ghana,GHA,2013,89
Ghana,GHA,2014,92
Ghana,GHA,2015,89
Ghana,GHA,2016,89
Ghana,GHA,2017,95
Ghana,GHA,2018,92
Ghana,GHA,2019,92
Ghana,GHA,2020,88
Ghana,GHA,2021,94
Ghana,GHA,2022,95
Ghana,GHA,2023,90
Ghana,GHA,2024,90
Greece,GRC,1995,70
Greece,GRC,1996,90
Greece,GRC,1997,90
Greece,GRC,1998,89
Greece,GRC,1999,88
Greece,GRC,2000,89
Greece,GRC,2001,91
Greece,GRC,2002,92
Greece,GRC,2003,94
Greece,GRC,2004,95
Greece,GRC,2005,96
Greece,GRC,2006,98
Greece,GRC,2007,99
Greece,GRC,2008,99
Greece,GRC,2009,99
Greece,GRC,2010,99
Greece,GRC,2011,99
Greece,GRC,2012,99
Greece,GRC,2013,99
Greece,GRC,2014,97
Greece,GRC,2015,97
Greece,GRC,2016,97
Greece,GRC,2017,97
Greece,GRC,2018,97
Greece,GRC,2019,97
Greece,GRC,2020,97
Greece,GRC,2021,97
Greece,GRC,2022,94
Greece,GRC,2023,91
Greece,GRC,2024,91
Grenada,GRD,1993,99
Grenada,GRD,1994,87
Grenada,GRD,1995,88
Grenada,GRD,1996,85
Grenada,GRD,1997,92
Grenada,GRD,1998,97
Grenada,GRD,1999,94
Grenada,GRD,2000,92
Grenada,GRD,2001,99
Grenada,GRD,2002,96
Grenada,GRD,2003,99
Grenada,GRD,2004,74
Grenada,GRD,2005,99
Grenada,GRD,2006,98
Grenada,GRD,2007,98
Grenada,GRD,2008,99
Grenada,GRD,2009,98
Grenada,GRD,2010,95
Grenada,GRD,2011,95
Grenada,GRD,2012,94
Grenada,GRD,2013,94
Grenada,GRD,2014,94
Grenada,GRD,2015,99
Grenada,GRD,2016,95
Grenada,GRD,2017,85
Grenada,GRD,2018,84
Grenada,GRD,2019,94
Grenada,GRD,2020,83
Grenada,GRD,2021,70
Grenada,GRD,2022,76
Grenada,GRD,2023,82
Grenada,GRD,2024,83
Guatemala,GTM,2001,91
Guatemala,GTM,2002,92
Guatemala,GTM,2003,94
Guatemala,GTM,2004,95
Guatemala,GTM,2005,93
Guatemala,GTM,2006,95
Guatemala,GTM,2007,86
Guatemala,GTM,2008,96
Guatemala,GTM,2009,92
Guatemala,GTM,2010,93
Guatemala,GTM,2011,89
Guatemala,GTM,2012,93
Guatemala,GTM,2013,91
Guatemala,GTM,2014,68
Guatemala,GTM,2015,79
Guatemala,GTM,2016,89
Guatemala,GTM,2017,94
Guatemala,GTM,2018,89
Guatemala,GTM,2019,90
Guatemala,GTM,2020,89
Guatemala,GTM,2021,88
Guatemala,GTM,2022,86
Guatemala,GTM,2023,89
Guatemala,GTM,2024,90
Guyana,GUY,1995,77
Guyana,GUY,1996,91
Guyana,GUY,1997,82
Guyana,GUY,1998,93
Guyana,GUY,1999,87
Guyana,GUY,2000,86
Guyana,GUY,2001,92
Guyana,GUY,2002,93
Guyana,GUY,2003,89
Guyana,GUY,2004,88
Guyana,GUY,2005,92
Guyana,GUY,2006,90
Guyana,GUY,2007,96
Guyana,GUY,2008,95
Guyana,GUY,2009,97
Guyana,GUY,2010,95
Guyana,GUY,2011,98
Guyana,GUY,2012,99
Guyana,GUY,2013,99
Guyana,GUY,2014,99
Guyana,GUY,2015,99
Guyana,GUY,2016,99
Guyana,GUY,2017,99
Guyana,GUY,2018,98
Guyana,GUY,2019,98
Guyana,GUY,2020,98
Guyana,GUY,2021,95
Guyana,GUY,2022,97
Guyana,GUY,2023,98
Guyana,GUY,2024,99
Haiti,HTI,2008,59
Haiti,HTI,2009,62
Haiti,HTI,2010,63
Haiti,HTI,2011,65
Haiti,HTI,2012,66
Haiti,HTI,2013,68
Haiti,HTI,2014,69
Haiti,HTI,2015,69
Haiti,HTI,2016,67
Haiti,HTI,2017,65
Haiti,HTI,2018,70
Haiti,HTI,2019,74
Haiti,HTI,2020,74
Haiti,HTI,2021,63
Haiti,HTI,2022,66
Haiti,HTI,2023,72
Haiti,HTI,2024,77
High-income countries,,1980,27
High-income countries,,1981,31
High-income countries,,1982,34
High-income countries,,1983,39
High-income countries,,1984,43
High-income countries,,1985,47
High-income countries,,1986,49
High-income countries,,1987,48
High-income countries,,1988,58
High-income countries,,1989,68
High-income countries,,1990,72
High-income countries,,1991,79
High-income countries,,1992,70
High-income countries,,1993,72
High-income countries,,1994,76
High-income countries,,1995,79
High-income countries,,1996,80
High-income countries,,1997,80
High-income countries,,1998,80
High-income countries,,1999,81
High-income countries,,2000,90
High-income countries,,2001,91
High-income countries,,2002,93
High-income countries,,2003,93
High-income countries,,2004,94
High-income countries,,2005,93
High-income countries,,2006,94
High-income countries,,2007,94
High-income countries,,2008,94
High-income countries,,2009,93
High-income countries,,2010,94
High-income countries,,2011,94
High-income countries,,2012,94
High-income countries,,2013,94
High-income countries,,2014,95
High-income countries,,2015,94
High-income countries,,2016,94
High-income countries,,2017,94
High-income countries,,2018,94
High-income countries,,2019,94
High-income countries,,2020,94
High-income countries,,2021,94
High-income countries,,2022,94
High-income countries,,2023,94
High-income countries,,2024,94
Honduras,HND,1997,89
Honduras,HND,1998,98
Honduras,HND,1999,98
Honduras,HND,2000,98
Honduras,HND,2001,99
Honduras,HND,2002,97
Honduras,HND,2003,95
Honduras,HND,2004,92
Honduras,HND,2005,96
Honduras,HND,2006,95
Honduras,HND,2007,94
Honduras,HND,2008,93
Honduras,HND,2009,98
Honduras,HND,2010,98
Honduras,HND,2011,97
Honduras,HND,2012,97
Honduras,HND,2013,97
Honduras,HND,2014,97
Honduras,HND,2015,98
Honduras,HND,2016,98
Honduras,HND,2017,98
Honduras,HND,2018,91
Honduras,HND,2019,89
Honduras,HND,2020,82
Honduras,HND,2021,81
Honduras,HND,2022,77
Honduras,HND,2023,77
Honduras,HND,2024,79
Hungary,HUN,1989,99
Hungary,HUN,1990,99
Hungary,HUN,1991,99
Hungary,HUN,1992,99
Hungary,HUN,1993,99
Hungary,HUN,1994,99
Hungary,HUN,1995,99
Hungary,HUN,1996,99
Hungary,HUN,1997,99
Hungary,HUN,1998,99
Hungary,HUN,1999,99
Hungary,HUN,2000,99
Hungary,HUN,2001,99
Hungary,HUN,2002,99
Hungary,HUN,2003,99
Hungary,HUN,2004,99
Hungary,HUN,2005,99
Hungary,HUN,2006,99
Hungary,HUN,2007,99
Hungary,HUN,2008,99
Hungary,HUN,2009,99
Hungary,HUN,2010,99
Hungary,HUN,2011,99
Hungary,HUN,2012,99
Hungary,HUN,2013,99
Hungary,HUN,2014,99
Hungary,HUN,2015,99
Hungary,HUN,2016,99
Hungary,HUN,2017,99
Hungary,HUN,2018,99
Hungary,HUN,2019,99
Hungary,HUN,2020,99
Hungary,HUN,2021,99
Hungary,HUN,2022,99
Hungary,HUN,2023,99
Hungary,HUN,2024,99
Iceland,ISL,1983,81
Iceland,ISL,1984,96
Iceland,ISL,1985,96
Iceland,ISL,1986,95
Iceland,ISL,1987,97
Iceland,ISL,1988,99
Iceland,ISL,1989,99
Iceland,ISL,1990,99
Iceland,ISL,1991,99
Iceland,ISL,1992,99
Iceland,ISL,1993,99
Iceland,ISL,1994,98
Iceland,ISL,1995,99
Iceland,ISL,1996,99
Iceland,ISL,1997,99
Iceland,ISL,1998,96
Iceland,ISL,1999,94
Iceland,ISL,2000,91
Iceland,ISL,2001,88
Iceland,ISL,2002,91
Iceland,ISL,2003,93
Iceland,ISL,2004,93
Iceland,ISL,2005,90
Iceland,ISL,2006,95
Iceland,ISL,2007,95
Iceland,ISL,2008,96
Iceland,ISL,2009,92
Iceland,ISL,2010,93
Iceland,ISL,2011,94
Iceland,ISL,2012,90
Iceland,ISL,2013,91
Iceland,ISL,2014,90
Iceland,ISL,2015,93
Iceland,ISL,2016,91
Iceland,ISL,2017,92
Iceland,ISL,2018,93
Iceland,ISL,2019,93
Iceland,ISL,2020,93
Iceland,ISL,2021,92
Iceland,ISL,2022,91
Iceland,ISL,2023,91
Iceland,ISL,2024,97
India,IND,2017,6
India,IND,2018,93
India,IND,2019,95
India,IND,2020,89
India,IND,2021,89
India,IND,2022,95
India,IND,2023,93
India,IND,2024,97
Indonesia,IDN,2017,15
Indonesia,IDN,2018,40
Indonesia,IDN,2019,88
Indonesia,IDN,2020,76
Indonesia,IDN,2021,72
Indonesia,IDN,2022,92
Indonesia,IDN,2023,82
Indonesia,IDN,2024,85
Iran,IRN,2004,96
Iran,IRN,2005,94
Iran,IRN,2006,99
Iran,IRN,2007,97
Iran,IRN,2008,98
Iran,IRN,2009,99
Iran,IRN,2010,99
Iran,IRN,2011,99
Iran,IRN,2012,98
Iran,IRN,2013,98
Iran,IRN,2014,99
Iran,IRN,2015,99
Iran,IRN,2016,99
Iran,IRN,2017,99
Iran,IRN,2018,99
Iran,IRN,2019,99
Iran,IRN,2020,99
Iran,IRN,2021,99
Iran,IRN,2022,99
Iran,IRN,2023,99
Iran,IRN,2024,99
Iraq,IRQ,1995,80
Iraq,IRQ,1996,82
Iraq,IRQ,2001,52
Iraq,IRQ,2002,48
Iraq,IRQ,2003,45
Iraq,IRQ,2004,41
Iraq,IRQ,2005,58
Iraq,IRQ,2006,52
Iraq,IRQ,2007,64
Iraq,IRQ,2008,76
Iraq,IRQ,2009,87
Iraq,IRQ,2010,77
Iraq,IRQ,2011,77
Iraq,IRQ,2012,68
Iraq,IRQ,2013,57
Iraq,IRQ,2014,67
Iraq,IRQ,2015,76
Iraq,IRQ,2016,75
Iraq,IRQ,2017,84
Iraq,IRQ,2018,83
Iraq,IRQ,2019,86
Iraq,IRQ,2020,93
Iraq,IRQ,2021,84
Iraq,IRQ,2022,97
Iraq,IRQ,2023,97
Iraq,IRQ,2024,91
Ireland,IRL,1983,10
Ireland,IRL,1984,10
Ireland,IRL,1985,63
Ireland,IRL,1986,65
Ireland,IRL,1987,66
Ireland,IRL,1988,68
Ireland,IRL,1989,78
Ireland,IRL,1990,78
Ireland,IRL,1991,78
Ireland,IRL,1992,78
Ireland,IRL,1993,78
Ireland,IRL,1994,78
Ireland,IRL,1995,77
Ireland,IRL,1996,77
Ireland,IRL,1997,77
Ireland,IRL,1998,77
Ireland,IRL,1999,77
Ireland,IRL,2000,79
Ireland,IRL,2001,73
Ireland,IRL,2002,73
Ireland,IRL,2003,78
Ireland,IRL,2004,81
Ireland,IRL,2005,84
Ireland,IRL,2006,86
Ireland,IRL,2007,87
Ireland,IRL,2008,89
Ireland,IRL,2009,90
Ireland,IRL,2010,90
Ireland,IRL,2011,92
Ireland,IRL,2012,92
Ireland,IRL,2013,93
Ireland,IRL,2014,93
Ireland,IRL,2015,93
Ireland,IRL,2016,92
Ireland,IRL,2017,92
Ireland,IRL,2018,92
Ireland,IRL,2019,91
Ireland,IRL,2020,92
Ireland,IRL,2021,90
Ireland,IRL,2022,90
Ireland,IRL,2023,89
Ireland,IRL,2024,90
Israel,ISR,1995,93
Israel,ISR,1996,96
Israel,ISR,1997,97
Israel,ISR,1998,94
Israel,ISR,1999,94
Israel,ISR,2000,95
Israel,ISR,2001,95
Israel,ISR,2002,95
Israel,ISR,2003,96
Israel,ISR,2004,97
Israel,ISR,2005,94
Israel,ISR,2006,96
Israel,ISR,2007,97
Israel,ISR,2008,98
Israel,ISR,2009,97
Israel,ISR,2010,96
Israel,ISR,2011,97
Israel,ISR,2012,96
Israel,ISR,2013,98
Israel,ISR,2014,97
Israel,ISR,2015,98
Israel,ISR,2016,97
Israel,ISR,2017,98
Israel,ISR,2018,98
Israel,ISR,2019,99
Israel,ISR,2020,99
Israel,ISR,2021,99
Israel,ISR,2022,98
Israel,ISR,2023,98
Israel,ISR,2024,98
Italy,ITA,1990,43
Italy,ITA,1991,50
Italy,ITA,1992,50
Italy,ITA,1993,50
Italy,ITA,1994,50
Italy,ITA,1995,50
Italy,ITA,1996,55
Italy,ITA,1997,57
Italy,ITA,1998,55
Italy,ITA,1999,70
Italy,ITA,2000,74
Italy,ITA,2001,77
Italy,ITA,2002,81
Italy,ITA,2003,84
Italy,ITA,2004,86
Italy,ITA,2005,87
Italy,ITA,2006,88
Italy,ITA,2007,90
Italy,ITA,2008,90
Italy,ITA,2009,90
Italy,ITA,2010,91
Italy,ITA,2011,90
Italy,ITA,2012,90
Italy,ITA,2013,90
Italy,ITA,2014,87
Italy,ITA,2015,85
Italy,ITA,2016,87
Italy,ITA,2017,92
Italy,ITA,2018,93
Italy,ITA,2019,94
